x-axis,1,2,3
second,Volt,Volt,Volt
+103.8000E-03,+3.3437500E+00,+2.6437500E+00,+3.0500002E+00
+103.9000E-03,+3.5000000E+00,+3.0812500E+00,+3.4250002E+00
+104.0000E-03,+3.5000000E+00,+3.4250000E+00,+3.7062502E+00
+104.1000E-03,+3.4687500E+00,+3.7062500E+00,+3.8937502E+00
+104.2000E-03,+3.3750000E+00,+3.8625000E+00,+4.0500002E+00
+104.3000E-03,+3.1250000E+00,+3.9250000E+00,+3.8937502E+00
+104.4000E-03,+2.8437500E+00,+3.8000000E+00,+3.7062502E+00
+104.5000E-03,+2.5312500E+00,+3.6125000E+00,+3.3625002E+00
+104.6000E-03,+2.1875000E+00,+3.3000000E+00,+2.9250002E+00
+104.7000E-03,+2.0000000E+00,+2.8625000E+00,+2.5187502E+00
+104.8000E-03,+1.7812500E+00,+2.4250000E+00,+2.0500002E+00
+104.9000E-03,+1.6250000E+00,+2.0500000E+00,+1.6750002E+00
+105.0000E-03,+1.7187500E+00,+1.6750000E+00,+1.4250002E+00
+105.1000E-03,+1.8750000E+00,+1.4562500E+00,+1.3000002E+00
+105.2000E-03,+2.0312500E+00,+1.3312500E+00,+1.3312502E+00
+105.3000E-03,+2.3437500E+00,+1.3937500E+00,+1.4875002E+00
+105.4000E-03,+2.6875000E+00,+1.5812500E+00,+1.8000002E+00
+105.5000E-03,+3.0000000E+00,+1.8937500E+00,+2.2062502E+00
+105.6000E-03,+3.2500000E+00,+2.3000000E+00,+2.7062502E+00
+105.7000E-03,+3.4375000E+00,+2.7687500E+00,+3.1750002E+00
+105.8000E-03,+3.5000000E+00,+3.1750000E+00,+3.5500002E+00
+105.9000E-03,+3.4687500E+00,+3.5500000E+00,+3.8625002E+00
+106.0000E-03,+3.3437500E+00,+3.8312500E+00,+4.0187502E+00
+106.1000E-03,+3.0937500E+00,+3.8937500E+00,+3.9562502E+00
+106.2000E-03,+2.8125000E+00,+3.8937500E+00,+3.8000002E+00
+106.3000E-03,+2.5000000E+00,+3.6750000E+00,+3.4562502E+00
+106.4000E-03,+2.1562500E+00,+3.3625000E+00,+3.0187502E+00
+106.5000E-03,+1.9375000E+00,+2.9250000E+00,+2.5187502E+00
+106.6000E-03,+1.7187500E+00,+2.4875000E+00,+2.0500002E+00
+106.7000E-03,+1.7187500E+00,+2.0187500E+00,+1.6437502E+00
+106.8000E-03,+1.8125000E+00,+1.6125000E+00,+1.3937502E+00
+106.9000E-03,+1.9687500E+00,+1.3937500E+00,+1.2375002E+00
+107.0000E-03,+2.2500000E+00,+1.3312500E+00,+1.3625002E+00
+107.1000E-03,+2.6562500E+00,+1.4250000E+00,+1.6125002E+00
+107.2000E-03,+2.9687500E+00,+1.7062500E+00,+2.0187502E+00
+107.3000E-03,+3.2812500E+00,+2.0812500E+00,+2.4875002E+00
+107.4000E-03,+3.4687500E+00,+2.5500000E+00,+2.9875002E+00
+107.5000E-03,+3.5625000E+00,+3.0500000E+00,+3.4562502E+00
+107.6000E-03,+3.4687500E+00,+3.4875000E+00,+3.8312502E+00
+107.7000E-03,+3.2812500E+00,+3.7687500E+00,+4.0187502E+00
+107.8000E-03,+3.0000000E+00,+3.8625000E+00,+3.9250002E+00
+107.9000E-03,+2.7187500E+00,+3.8312500E+00,+3.7687502E+00
+108.0000E-03,+2.2812500E+00,+3.6125000E+00,+3.4250002E+00
+108.1000E-03,+2.0312500E+00,+3.3312500E+00,+2.9250002E+00
+108.2000E-03,+1.7812500E+00,+2.8000000E+00,+2.3937502E+00
+108.3000E-03,+1.6875000E+00,+2.3625000E+00,+1.8937502E+00
+108.4000E-03,+1.7500000E+00,+1.9250000E+00,+1.5500002E+00
+108.5000E-03,+1.9375000E+00,+1.5500000E+00,+1.3312502E+00
+108.6000E-03,+2.2187500E+00,+1.3625000E+00,+1.3000002E+00
+108.7000E-03,+2.5937500E+00,+1.3625000E+00,+1.4562502E+00
+108.8000E-03,+2.9375000E+00,+1.5812500E+00,+1.8312502E+00
+108.9000E-03,+3.2500000E+00,+1.9250000E+00,+2.3000002E+00
+109.0000E-03,+3.4687500E+00,+2.3937500E+00,+2.8625002E+00
+109.1000E-03,+3.5312500E+00,+2.9250000E+00,+3.3625002E+00
